Start 1273 35
action\2024-12-15_21-51-57-196:1236 21 p x
action\2024-12-15_21-51-59-489000:351 84 r Button.right
action\2024-12-15_21-52-00-846000:632 617 p j
action\2024-12-15_21-52-03-315000:621 381 r Button.left
action\2024-12-15_21-52-04-286000:179 505 p Button.right
action\2024-12-15_21-52-05-524000:641 212 r Key.shift
action\2024-12-15_21-52-06-756000:184 162 r r
action\2024-12-15_21-52-07-269000:40 289 r Button.left
action\2024-12-15_21-52-08-212000:618 463 p 0
action\2024-12-15_21-52-10-112000:404 124 r 7
action\2024-12-15_21-52-12-070000:218 657 p Button.left
action\2024-12-15_21-52-12-222000:1121 261 p Key.f5
action\2024-12-15_21-52-13-056000:877 245 p y
action\2024-12-15_21-52-15-920000:73 521 p Button.left
action\2024-12-15_21-52-16-679000:218 335 p x
action\2024-12-15_21-52-19-160000:675 474 p Button.left
action\2024-12-15_21-52-20-288000:583 477 p Button.left
action\2024-12-15_21-52-22-971000:946 627 r Button.left
action\2024-12-15_21-52-25-787000:437 620 p x
action\2024-12-15_21-52-27-903000:786 454 p Key.f4
End
